Common Name,Name,CountryCode,NumberActors,MilFatalities,TotalFatalities,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,Region,Century,Decade,DurationD,DurationM,DurationY
,"Japan (warlords in Aichi ken), 1543",740,2,,,1543,8,10,1543,8,10,12,2,154,0,0,0
Anglo-French War,"England-France, 1544-46",,2,,8250,1544,7,14,1546,6,7,3,2,154,683,23,2
Battle of Pinkie,"England-Scotland (with French involvement), 1544-47",,2,5500,5500,1544,5,3,1547,9,10,3,2,154,1207,40,3
,"China (Shanxi, Hebei), 1544",710,2,,,1544,7,,1544,10,,12,2,154,,3,0
,"China (Liaoning), 1544-45",710,2,,200,1544,,,1545,8,,12,2,154,,,1
,"France (massacre of Vaudois protestants), 1545",,2,,,1545,,,1545,,,3,2,154,,,0
,"Turkey-Persia, 1545-49",,2,,,1545,,,1549,,,5,2,154,,,4
,"Ethiopia-muslim state of Dawaro, Fatajar, Bali), 1545",,2,,,1545,,,1545,,,8,2,154,,,0
,"Galla-Dawaro (Ethiopia), 1545-47",,2,,,1545,,,1547,,,8,2,154,,,2
,"China (Shanxi, Hebei, Shenxi, Liaoning, Mongolia), 1545-6",710,2,,100,1545,9,,1546,9,,12,2,154,,12,1
Schmalkaldic War,"Emperor, German allies, pope-Protestant German states, Bohemia, 1546-47",,5,,8000,1546,10,30,1547,4,24,3,2,154,174,6,1
,"Spain-Mexico (Maya), 1546",,2,,,1546,,,1546,,,1,2,154,,,0
Third Spanish Civil War in Peru,"Spanish Peru, 1546",,2,,,1546,1,,1546,1,8,2,2,154,,0,0
,"China (Sichuan), 1546-47",710,2,,693,1546,3,,1547,4,,12,2,154,,13,1
,"Japan (warlords in Saitama ken), 1546",740,2,,,1546,4,20,1546,4,20,12,2,154,0,0,0
,"Scotland (with French support)-England, 1547-50",,3,,5250,1547,7,21,1550,3,24,3,2,154,963,32,3
,"Muscovy-Kazan Tatars, 1547",,2,,1200,1547,,,1547,,,4,2,154,,,0
,"Turkey-Portugal (Aden), 1547",,2,,,1547,,,1547,,,5,2,154,,,0
,"China (Gansu), 1547",710,2,,,1547,4,,1547,5,,12,2,154,,1,0
,"Ching (Ming)-Japanese pirates, rebels (Zhejiang, Fujian, Guangxi), 1547-66",,3,,13100,1547,12,,1548,4,,12,2,154,,4,1
Pitauds' revolt,"France (Bordelais), 1548",,2,,100,1548,,,1548,,,3,2,154,,,0
Fourth Spanish Civil War in Peru,"Spain (separatist movement in Peru), 1548",,2,,46,1548,4,,1548,4,9,2,2,154,,0,0
,"France-England, 1548-50",,2,,6000,1548,8,15,1550,3,24,3,2,154,579,19,2
,"China (Shanxi, Hebei), 1548-49",710,2,,,1548,8,,1549,2,,12,2,154,,6,1
,"Japan (warlords in Aichi ken), 1548",740,2,,,1548,3,19,1548,3,19,12,2,154,0,0,0
,"Japan (Yamanashi ken), 1548",740,2,,1000,1548,7,19,1548,7,19,12,2,154,0,0,0
Prayerbook Uprising,"England (Devonshire, Catholic), 1549",,2,,,1549,,,1550,,,3,2,154,,,1
Kett's Rebellion,"England (Kent, peasant), 1549",,2,,,1549,,,1549,,,3,2,154,,,0
Arundel's Rebellion ?,"England (Cornwall), 1549-50",,2,,750,1549,7,15,1550,8,26,3,2,154,401,13,1
,"China (Guizhou), 1549-50",710,2,,2000,1549,9,,1550,5,,12,2,154,,8,1
,"China (Shanxi, Liaoning), 1549",710,2,,3500,1549,8,,1549,9,,12,2,154,,1,0
Magdeburg War,"German Protestants-Emperor, 1550-51",,2,,,1550,,,1551,,,3,2,155,,,1
,"Muscovy-Kazan Tartars, 1550-52",,2,,4000,1550,,,1552,,,4,2,155,,,2
,"Turkey-Funj (Sudan), 1550",,2,,,1550,,,1550,,,6,2,155,,,0
,"Spain-pirates (Tunisia), 1550",,2,,,1550,,,1550,,,6,2,155,,,0
,"Yoruba-Nupe (Nigeria), 1550",,2,,,1550,,,1550,,,7,2,155,,,0
,"Ava (Burma)-Thailand, Laos, Shans, 1550-69",,4,,,1550,,,1569,,,11,2,155,,,19
,"Mongolia-China (Beijing), 1550",710,2,,,1550,,,1550,,,12,2,155,,,0
,"China (Ming)-Anda (Beijing), 1550",710,2,,,1550,8,,1550,8,,12,2,155,,0,0
,"China (Guizhou), 1550",710,2,,1800,1550,3,,1550,3,,12,2,155,,0,0
,"China (Guangdong, Hainan), 1550",710,2,,5400,1550,4,,1550,5,,12,2,155,,1,0
,"China (Hebei), 1550",710,2,,,1550,6,,1550,6,,12,2,155,,0,0
,"China (Yunnan), 1550-53",710,2,,,1550,,,1553,,,12,2,155,,,3
Ottoman War,"Turkey, Transylvania-emperor, Hungary, 1551-62",,4,,24000,1551,,,1562,,,4,2,155,,,11
,"Pope-Parma, 1551",,2,,,1551,,,1551,,,3,2,155,,,0
,"Turkey-Knights of Malta (Tripoli), 1551-52",,2,,,1551,,,1552,,,4,2,155,,,1
Fifth War of Charles V (Last Valois-Hapsburg War),"Spain, Emperor-France, Saxony, 1551-55",,4,95000,95000,1551,6,,1555,9,25,3,2,155,,51,4
,"Turkey-Portugal (Muscat), 1551",,2,,,1551,,,1551,,,5,2,155,,,0
,"Poland (intervention in Wallachia), 1552",,2,,300,1552,,,1552,,,4,2,155,,,0
,"Spain-Peru, 1552-54",,2,,,1552,,,1554,,,2,2,155,,,2
,"Turkey-Persia, 1552-54",,2,,,1552,,,1554,,,5,2,155,,,2
Metz War,"German Protestants-Emperor, 1552-53",,2,,,1552,,,1553,,,3,2,155,,,1
,"Portugal-Moluccans (Ternate), 1552-65",,2,,,1552,,,1565,,,11,2,155,,,13
,"China-Japanese pirates (Zhejiang, Shanghai, Jiangsu), 1552-53",,3,,2852,1552,4,,1557,,,12,2,155,,,5
,"China (Liaoning, Hebei, Shenxi, Shanxi, Gansu, Ningxia, Mongolia), 1552-67",710,2,,7550,1552,2,,1567,10,,12,2,155,,188,15
Marches of Albrecht of Kulmbach,"Kulmbach-Emperor,1553",,2,,,1553,,,1553,,,3,2,155,,,0
,"Florence-Siena, 1553-55",,2,,,1553,,,1555,,,3,2,155,,,2
,"China (Henan), 1553",710,2,,400,1553,7,,1553,10,,12,2,155,,3,0
,"Japan (warlords in Nagano ken), 1553",740,2,,,1553,8,,1553,8,,12,2,155,,0,0
Russo-Swedish War,"Muscovy-Sweden, 1554-57",,2,,4800,1554,,,1557,,,4,2,155,,,3
,"Muscovy-Crimea, 1554-59",,2,,3120,1554,,,1559,,,4,2,155,,,5
,"Muscovy-Astrakhan, 1554-56",,2,,1200,1554,,,1556,,,4,2,155,,,2
Wyatt's Rebellion,"England, 1554",,2,,1000,1554,2,7,1554,2,9,3,2,155,2,0,0
,"Morocco (Sharifs)-Portugal (Fez), 1554",,2,,,1554,,,1554,9,13,6,2,155,,,0
,"Songhai-Katsina (Nigeria), 1554",,2,,,1554,,,1554,,,7,2,155,,,0
,"Ethiopia-Galla, 1554-55",,2,,,1554,,,1555,,,8,2,155,,,1
,"France-Portugal (Brazil), 1555",,2,,,1555,,,1555,,,2,2,155,,,0
,"Geneva (anti-Calvinist rising), 1555",,2,,,1555,,,1555,,,3,2,155,,,0
,"Moguls-Afghans (in India), 1555",,2,,,1555,,,1555,,,10,2,155,,,0
,"China (Hebei), 1555",710,2,,,1555,6,,1555,6,,12,2,155,,0,0
,"Japan-China (Nanking), 1555",,2,,,1555,,,1555,,,12,2,155,,,0
,"Japan (warlords in Hiroshima ken), 1555",740,2,,,1555,9,22,1555,10,1,12,2,155,9,1,0
,"Japan (warlords in Nagano ken), 1555",740,2,,,1555,7,,1555,7,,12,2,155,,0,0
Franco-Spanish War,"Pope (till 1557), France-Emperor, Savoy, 1556-59",,4,,11000,1556,7,,1559,4,3,3,2,155,,33,3
,"Poland-Knights of Livonia, 1556-57",,2,,600,1556,,,1557,,,4,2,155,,,1
,"Spain-pirates (Tunisia), 1556-1560",,2,,,1556,,,1560,3,15,6,2,155,,,4
,"Kongo-Ndongo (Angola), 1556",,2,,,1556,,,1556,,,8,2,155,,,0
,"Moguls-Hindus (Panipat, India), 1556",,2,,,1556,,,1556,11,5,10,2,155,,,0
,"China (Guangdong), 1556",710,2,,550,1556,4,,1556,5,,12,2,155,,1,0
,"Japan (warlords in Kanagawa ken), 1556",740,2,,,1556,3,10,1556,3,10,12,2,155,0,0,0
,"Japan (warlords in Chibu ken), 1556",740,2,,,1556,4,19,1556,4,20,12,2,155,1,0,0
Anglo-French War,"France-England, 1556-59",,2,11000,11000,1557,6,7,1559,4,2,3,2,155,655,22,2
,"Scotland-England, 1557",,2,,,1557,,,1557,,,3,2,155,,,0
Livonian War,"Muscovy-Teutonic Order, Knights of Livonia, 1557-58",,3,,13200,1557,,,1558,,,4,2,155,,,1
,"Turkey-Portugal (Zaila, Somaliland), 1557",,2,,,1557,,,1557,,,8,2,155,,,0
,"Tigre-Turkey (Ethiopia), 1557",,2,,,1557,,,1557,,,8,2,155,,,0
,"Japan (warlords in Nagano ken), 1557",740,2,,,1557,3,,1557,3,,12,2,155,,0,0
Russian-Lithuanian war,"Muscovy-Lithuania, 1558-61",,2,,,1558,,,1561,,,4,2,155,,,3
Russo-Swedish War,"Muscovy-Sweden, 1558-61",,2,,,1558,,,1561,,,4,2,155,,,3
,"India-Gwalior, 1558",,2,,,1558,,,1558,,,10,2,155,,,0
,"Turkey (succession), 1559",,,,1000,1559,,,1559,,,4,2,155,,,0
Spanish-Turkish War,"Spain, Venice-Turkey, Tripoli, 1559-65",,4,,24000,1559,12,1,1565,9,12,4,2,155,2081,69,6
Scottish War,"Scotland-France (with intervention by England), 1559-60",,3,,6000,1559,5,,1560,2,,3,2,155,,9,1
,"Ireland (succession to the earldom of Tyrone), 1559-67",,,,3500,1559,,,1567,6,,3,2,155,,,8
,"Denmark-Golschtein (Ditmarshes), 1559",,2,,,1559,,,1559,,,3,2,155,,,0
,"Harar-Ethiopia, 1559",,2,,,1559,,,1559,4,,8,2,155,,,0
,"China-Japanese pirates (Zhejiang, Jiangsu), 1559",,2,,,1559,3,,1559,5,,12,2,155,,2,0
,"Moguls-Rajput, Bengalis, 1560",,3,,,1560,,,1560,,,10,2,156,,,0
,"Savoy (Vaudois), 1560-61",,2,,,1560,,,1561,,,3,2,156,,,1
Conspiracy of Amboise,"France, 1560",,2,,,1560,,,1560,,,3,2,156,,,0
,"China (Guangdong), 1560",710,2,,1200,1560,,,1560,,,12,2,156,,,0
,"China (Fujian, Jiangxi), 1560-61",710,2,,500,1560,12,,1561,10,,12,2,156,,10,1
,"Japan (warlords in Aichi ken), 1560",740,2,,,1560,5,19,1560,5,19,12,2,156,0,0,0
,"Japan (warlords in Kouchi ken), 1560",740,2,,,1560,5,26,1560,5,26,12,2,156,0,0,0
,"Russia-Livonian Order, Denmark, 1561-70",,3,,,1561,,,1570,,,4,2,156,,,9
Livonian War with Russia,"Russia-(Poland-Lithuania), 1561-71",,2,,46800,1561,,,1571,,,4,2,156,,,10
,"China (Guangdong), 1561-63",710,2,,100,1561,3,,1563,12,,12,2,156,,33,2
,"China (Sichuan, Guizhou), 1561-62",710,2,,100,1561,5,,1562,3,,12,2,156,,10,1
,"China-Japanese pirates, rebels (Zhejiang, Fujian Guangdong), 1561-68",,3,,19600,1561,,,1568,8,,12,2,156,,,7
,"Japan (warlords in Nagano ken), 1561",740,2,,,1561,9,10,1561,9,10,12,2,156,0,0,0
First Huguenot War,"France (Huguenots, with intervention by England), 1562-63",,3,6000,14000,1562,3,1,1563,3,19,3,2,156,378,12,1
,"Scotland (rebellion), 1562",,2,,,1562,,,1562,11,5,3,2,156,,,0
Swedish Civil War,"Sweden, 1562-68",,2,,,1562,,,1568,,,3,2,156,,,6
,"England-France, 1562-63",,2,,,1562,9,20,1563,7,28,3,2,156,308,10,1
,"Morocco-Portugal (Mazagan), 1562",,2,,,1562,,,1562,,,6,2,156,,,0
,"China (Guangdong, Jiangxi), 1562",710,2,,1200,1562,5,,1562,5,,12,2,156,,0,0
,"Japan (warlords in Kochi ken), 1562",740,2,,,1562,9,16,1562,9,16,12,2,156,0,0,0
,"Russia-Siberian Tsar, 1563",,2,,,1563,,,1563,,,9,2,156,,,0
Seven Years War of the North,"Denmark, Poland, Lubeck-Sweden, 1563-70",,4,,,1563,,,1570,12,13,4,2,156,,,7
,"Ndongo-Benguella (Angola), 1563",,2,,,1563,,,1563,,,8,2,156,,,0
,"Emperor-Transylvania, 1564-66",,2,,,1564,,,1566,,,4,2,156,,,2
,"Spain-Filipinos, 1564-67",,2,,,1564,,,1567,,,11,2,156,,,3
,"Moluccas-Portugal (aided by Spain), 1564-69",,3,,,1564,,,1569,,,11,2,156,,,5
,"Genoa (Corsica), 1564-68",,2,,,1564,,,1568,,,3,2,156,,,4
,"Japan (warlords in Chiba ken), 1564",740,2,,,1564,1,8,1564,1,8,12,2,156,0,0,0
,"Japan (warlords in Nagano ken), 1564",740,2,,,1564,8,,1564,8,,12,2,156,,0,0
,"Scotland (religious), 1565-67",,2,,,1565,,,1567,,,3,2,156,,,2
,"Spain-France (Florida), 1565",,2,,,1565,,,1565,,,1,2,156,,,0
,"Spain (Moriscos in Andalusia), 1565",,2,,,1565,,,1565,,,3,2,156,,,0
,"Turkey-Malta (Knights of St. John), Spain, 1565",,3,,,1565,5,,1565,9,,4,2,156,,4,0
,"Ndongo (Angola), 1565",,2,,,1565,,,1565,,,8,2,156,,,0
,"India (Muslims vs south Indians (Vija Yahagar), 1565",,2,,1000,1565,,,1565,,,10,2,156,,,0
,"China (Guangdong), 1565",710,2,,,1565,9,,1565,9,,12,2,156,,0,0
,"China (Sichuan), 1565-66",710,2,,,1565,12,,1566,5,,12,2,156,,5,1
Austro-Turkish War,"Turkey-Emperor (Austria), 1566",,2,24000,24000,1566,1,,1566,9,8,4,2,156,,8,0
,"Portugal-France (Brazil), 1566-67",,2,,,1566,,,1567,,,2,2,156,,,1
Dutch War of Independence (Eighty Years War),"Netherlands-Spain, 1566-1609",,2,,129300,1566,8,10,1609,4,9,3,2,156,15359,512,43
First Phase of Eighty Years War,"Netherlands-Spain, 1566-68",,2,,2000,1566,4,5,1568,11,,3,2,156,,31,2
,"Tyo-Kongo (Congo), 1566-67",,2,,,1566,,,1567,,,7,2,156,,,1
,"China (Anhui, Jiangsu, Jiangxi, Zhejiang), 1566",710,2,,,1566,2,,1566,2,,12,2,156,,0,0
Scotch Rebellion,"Scotland, 1567",,2,,,1567,5,15,1567,6,17,3,2,156,32,1,0
Second Huguenot War,"France (Huguenots), 1567-68",,2,3000,8000,1567,9,29,1568,3,23,3,2,156,174,6,1
,"Galla-Harar, Ethiopia, 1567",,3,,,1567,,,1567,,,8,2,156,,,0
,"England-Spain (Caribbean), 1568",,2,,,1568,,,1568,,,1,2,156,,,0
Moriscos' Revolt,"Spain (Moriscos in Granada), 1568-71",,2,,1500,1568,11,,1571,,,3,2,156,,,3
Third Huguenot War,"France (Huguenots), 1568-70",,2,,1800,1568,8,18,1570,8,8,3,2,156,710,24,2
Russian War with Turkey,"Turkey-Russia (Astrakhan), 1568-69",,2,,,1568,,,1569,,,4,2,156,,,1
,"Jaga-Kongo (Angola?), 1568-69",,2,,,1568,,,1569,,,8,2,156,,,1
,"Holland (Kafirs)-Zanzibar, 1568",,2,,,1568,,,1568,,,8,2,156,,,0
,"Turkey-Kenya (Cambo), 1568",,2,,,1568,,,1568,,,8,2,156,,,0
,"China (Hebei, Liaoning, Shanxi), 1568-72",710,2,,640,1568,11,,1572,3,,12,2,156,,40,4
,"Japan (rebellion in Fukooka ken), 1568-69",740,4,,,1568,4,,1569,,,12,2,156,,,1
Insurrection of the Beggars (Eighty Years War),"Spain-Netherlands, 1569-72",,2,,,1569,,,1572,4,1,3,2,156,,,3
Northern Rebellion,"England (Catholic lords of the north), 1569-70",,2,,400,1569,11,9,1570,2,20,3,2,156,101,3,1
,"Poland-Crimean Tartars, 1569",,2,,600,1569,,,1569,,,4,2,156,,,0
,"Russia-Tatars, 1569",,2,,,1569,,,1569,,,4,2,156,,,0
,"Turkey-Spain, 1569-80",,2,,12000,1569,,,1580,,,3,2,156,,,11
,"Algiers-Tunis, 1569-70",,2,,,1569,,,1570,,,5,2,156,,,1
Insurrection in Munster,"England-Munster (southern Ireland), 1569-83",,2,,6000,1569,,,1583,,,3,2,156,,,14
,"Turkey-Arabia, 1569",,2,,,1569,,,1569,,,5,2,156,,,0
,"Portugal-Monomotapa (Mozambique), 1569",,2,,,1569,,,1569,,,8,2,156,,,0
,"Harar-Galla (Ethiopia), 1569",,2,,,1569,,,1569,,,8,2,156,,,0
,"Kenya-Portugal (Pate), 1569",,2,,,1569,,,1569,,,8,2,156,,,0
,"China (Gansu), 1569",710,2,,60,1569,4,,1569,4,,12,2,156,,0,0
,"American Indians-Portugal, 1570-71",,2,,,1570,,,1571,,,1,2,157,,,1
,"Scotland (Marians), 1570-73",,2,,,1570,1,23,1573,5,,3,2,157,,40,3
,"Muscovy-Novgorod, 1570",,2,,,1570,,,1570,,,4,2,157,,,0
Turkish War with Venice,"Turkey-Venice, Papal states, 1570-73",,3,38000,38000,1570,1,,1573,3,7,4,2,157,,38,3
,"Austria (Croatia, Hapsburg Hungary), 1570-73",,3,,,1570,,,1573,,,4,2,157,,,3
,"Katsina-Kano (Nigeria), 1570",,2,,,1570,,,1570,,,7,2,157,,,0
,"Zimba-others (Zimbabwe), 1570",,2,,,1570,,,1570,,,8,2,157,,,0
,"Portugal-Moluccans (Ternate), 1570-74",,2,,,1570,,,1574,,,11,2,157,,,4
,"Japan (warlords in Shiga ken), 1570",740,3,,,1570,6,28,1570,6,28,12,2,157,0,0,0
,"Japan (Osaka), 1570-80",740,2,,,1570,9,12,1580,3,5,12,2,157,3413,114,10
,"Crimean Tartars-Muscovy, 1571-72",,2,,,1571,,,1572,,,4,2,157,,,1
,"Portugal, Kongo-Jaga (northwest Angola), 1571-72",,3,,,1571,,,1572,,,8,2,157,,,1
,"Portugal-Mozambique (Manica), 1571-74",,2,,,1571,,,1574,,,8,2,157,,,3
,"China (Guangxi), 1571-80",710,2,,8000,1571,,,1580,,,12,2,157,,,9
,"Japan (Kyoto), 1571",740,2,,34000,1571,9,12,1571,9,12,12,2,157,0,0,0
,"Spain-Netherlands, 1572-1576",,2,,,1572,4,1,1576,11,,3,2,157,,55,4
,"Muscovy (Volga Tartars), 1572",,2,,,1572,,,1572,,,4,2,157,,,0
Russo-Swedish War,"Russia-Sweden, 1572-83",,2,,,1572,,,1583,,,4,2,157,,,11
,"Russia-Poland, 1572-75",,2,,,1572,,,1575,,,4,2,157,,,3
Fourth Huguenot War,"France (Huguenots), 1572-73",,2,,1600,1572,8,22,1573,7,6,3,2,157,314,11,1
,"Turkey (Moldavia), 1572-74",,2,,,1572,,,1574,,,4,2,157,,,2
Spanish-Turkish War,"Turkey, Barbary states-Spain, pope, emperor, 1572-74",,4,,48000,1572,8,,1574,9,,4,2,157,,25,2
,"China-Japanese pirates (Guangdong), 1572",,2,,,1572,2,,1572,3,,12,2,157,,1,0
,"China (Guangdong), 1572",710,2,,200,1572,,,1572,,,12,2,157,,,0
,"China (peasants in Guangdong), 1572",710,2,,12661,1572,6,,1572,6,,12,2,157,,0,0
,"Japan (Shizioka ken), 1572",740,2,,,1572,12,22,1572,12,22,12,2,157,0,0,0
,"Moguls-Gujarat (west India), 1573",,2,,,1573,,,1573,,,10,2,157,,,0
,"China (minorities in Guangxi and Guangdong), 1573",710,3,,,1573,4,,1573,4,,12,2,157,,0,0
,"China (minority in Guangxi), 1573",710,2,,8000,1573,1,,1573,1,,12,2,157,,0,0
,"China (minority in Sichuan), 1573",710,2,,6136,1573,9,,1573,9,,12,2,157,,0,0
,"China (Tartars in Liaoning and Inner Mongolia), 1573",710,2,,,1573,4,,1573,5,,12,2,157,,1,0
Fifth Huguenot War,"France (Huguenots), 1574-76",,2,,800,1574,2,23,1576,5,6,3,2,157,793,27,2
,"Ukraine-Moldavia, 1574",,2,,,1574,,,1574,,,4,2,157,,,0
,"Moguls-Bengal, 1574-76",,2,,,1574,,,1576,,,10,2,157,,,2
,"China (Guangdong), 1574",710,2,,1300,1574,3,,1574,3,,12,2,157,,0,0
,"China (Liaoning), 1574",710,2,,1100,1574,10,,1574,10,,12,2,157,,0,0
,"China-Japanese pirates (Zhejiang, Guangdong), 1574",,2,,800,1574,,,1574,,,12,2,157,,,0
Italian War,"France, Switzerland-Venice, 1575",,3,,,1575,,,1575,,,3,2,157,,,0
,"Transylvania, 1575",,2,,,1575,,,1575,,,4,2,157,,,0
,"Poland (Galicia)-Crimean Tartars, 1575-76",,2,,1200,1575,,,1576,,,4,2,157,,,1
,"Portugal-Malabar, 1575-85",,2,,,1575,,,1585,,,11,2,157,,,10
,"China (minority in Liaoning and Hebei), 1575-76",710,2,,1060,1575,,,1576,5,,12,2,157,,,1
,"Japan (Aichi ken), 1575",740,3,,,1575,5,21,1575,5,21,12,2,157,0,0,0
,"Japan (Kochi ken), 1575",740,2,,,1575,,,1575,,,12,2,157,,,0
,"Korea (court factional strife), 1575",730,2,,,1575,,,1575,,,12,2,157,,,0
,"Emperor-Turkey, 1576-83",,2,,16000,1576,,,1583,,,4,2,157,,,7
,"Turkey-Hejaz (Morocco), 1576",,2,,,1576,,,1576,,,5,2,157,,,0
,"Portugal-tribesmen (Accra in Ghana), 1576",,2,,,1576,,,1576,,,7,2,157,,,0
Sixth Huguenot War,"France (Huguenots), 1577",,2,,800,1577,3,,1577,8,17,3,2,157,,5,0
,"Poland (Danzig), 1577",,2,,,1577,,,1577,,,4,2,157,,,0
Livonian War,"Poland-Russia, Livonia, Estonia, 1577-82",,4,,26250,1577,,,1582,1,15,4,2,157,,,5
,"Harar-Ethiopia, 1577",,2,,,1577,,,1577,,,8,2,157,,,0
,"China (minority in Guangdong), 1577",710,2,,,1577,,,1577,,,12,2,157,,,0
,"Japan (Chukoku area), 1577-82",740,3,,,1577,10,23,1582,6,4,12,2,157,1661,56,5
,"Spain-Netherlands (with intervention from France and England), 1578-1587",,4,,,1578,1,31,1587,,,3,2,157,,,9
,"England-Portugal (Cape Verde Islands), 1578",,2,,,1578,,,1578,,,7,2,157,,,0
Turko-Persian War,"Turkey-Persia, 1578-90",,2,,,1578,,,1590,,,5,2,157,,,12
,"Portugal-Morocco, 1578",,2,,20000,1578,8,4,1578,8,4,6,2,157,0,0,0
,"Ethiopia-Turkey, 1578-89",,2,,,1578,,,1589,,,8,2,157,,,11
,"Muscovy-Siberian Tartars, 1578-81",,2,,,1578,,,1581,,,9,2,157,,,3
,"China (Tartars in Liaoning), 1578-79",710,2,,2180,1578,1,,1579,1,,12,2,157,,12,1
,"Japan (warlords in Miyazaki ken), 1578",740,2,,,1578,11,10,1578,11,11,12,2,157,1,0,0
Irish Rebellion,"England (Ireland, with intervention by pope, Spain), 1579-80",,4,,,1579,7,,1580,,,3,2,157,,,1
Spanish Conquest of Portugal,"Spain-Portugal, 1579-81",,2,4000,4000,1579,,,1581,5,,3,2,157,,,2
,"Ndongo-Portugal (Angola), 1579-85",,2,,,1579,,,1585,12,24,8,2,157,,,6
Seventh Huguenot War,"France (Huguenots), 1580",,2,,800,1580,4,,1580,11,26,3,2,158,,7,0
,"Makua-Portugal (Mozambique), 1580",,2,,,1580,,,1580,,,8,2,158,,,0
,"China (minority in Liaoning), 1580",710,2,,750,1580,3,,1580,8,,12,2,158,,5,0
,"China (minority in Guangxi), 1580",710,2,,16900,1580,4,,1580,4,,12,2,158,,0,0
,"Japan (warlords in Takaamakami ), 1580-82",740,2,,600,1580,3,,1582,2,,12,2,158,,23,2
,"Morocco-Tuaregs (Algeria), 1581",,2,,,1581,,,1581,,,6,2,158,,,0
,"Muscovy-Siberian Tatars, 1581-85",,2,,,1581,10,,1585,8,,9,2,158,,46,4
,"Oman-Portugal (Muscat), 1581",,2,,,1581,,,1581,,,5,2,158,,,0
,"Moguls-Afghanistan, 1581",,2,,,1581,,,1581,,,10,2,158,,,0
,"Portugal-Moluccans (Ternate), 1581",,2,,,1581,,,1581,,,11,2,158,,,0
,"China (Tartars in Liaoning), 1581-83",710,2,,,1581,1,,1583,2,,12,2,158,,25,2
,"France-Spain (Azores), 1582-83",,2,,,1582,,,1583,,,3,2,158,,,1
,"China (Liaoning), 1582",710,2,,3300,1582,,,1582,,,12,2,158,,,0
,"Japan (Yamanashi ken), 1582",740,3,,,1582,3,11,1582,3,11,12,2,158,0,0,0
,"Japan (Okayama ken), 1582",740,2,,,1582,5,,1582,6,4,12,2,158,,1,0
,"Japan (Kyoto), 1582",740,4,,,1582,6,2,1582,6,12,12,2,158,10,0,0
,"Japan (warlords in Takamatsu), 1582",740,2,,,1582,6,,1582,6,,12,2,158,,0,0
,"France-Spain (Antwerp), 1583",,2,,,1583,1,,1583,,,3,2,158,,,0
Ottoman War,"Poland-Turkey, 1583-90",,2,,2400,1583,,,1590,,,4,2,158,,,7
,"Cologne (with intervention by Spain, Palatinate and others), 1583-89",,4,,,1583,,,1589,,,3,2,158,,,6
,"China-Burma (Yunnan), 1583",,2,,,1583,2,,1583,8,,12,2,158,,6,0
,"Japan (Shiga ken), 1583",740,2,,,1583,4,12,1583,4,12,12,2,158,0,0,0
,"Thai-Ava (Burma), 1584-93",,2,,,1584,,,1593,,,11,2,158,,,9
,"Japan (Aichi ken), 1584",740,4,,,1584,3,15,1584,12,,12,2,158,,9,0
,"Japan (Nagasaki ken), 1584",740,2,,,1584,3,24,1584,3,24,12,2,158,0,0,0
War of the Three Henries,"France (Huguenots, with intervention by Spain and England), 1585-98",,4,,,1585,7,7,1589,8,2,3,2,158,1465,49,4
,"England-Spain (Caribbean), 1585-86",,2,,,1585,10,6,1586,,,1,2,158,,,1
,"England-Portugal (Cape Verde Islands), 1585",,2,,,1585,,,1585,,,7,2,158,,,0
,"Turkey-Portugal (Somalia and Kenya), 1585",,2,,,1585,,,1585,,,8,2,158,,,0
,"East Africans-Portugal (Kilwa and Mombasa), 1585-90",,3,,,1585,,,1590,,,8,2,158,,,5
,"China (Tartars in Liaoning), 1585-86",710,2,,1800,1585,3,,1586,4,,12,2,158,,13,1
,"China (minority in Sichuan), 1585-86",710,2,,3000,1585,,,1586,11,,12,2,158,,,1
,"Japan (Shikoku), 1585",740,3,,,1585,6,,1585,7,25,12,2,158,,1,0
,"Turkey (Egypt), 1586",,2,,,1586,,,1586,,,6,2,158,,,0
,"Ethiopia-Sidama, 1586",,2,,,1586,,,1586,,,8,2,158,,,0
,"Moghuls-Kashmir, Sind, Orissa, Baluchistan, 1586-95",,5,,40000,1586,,,1595,,,10,2,158,,,9
,"Russia-Tartars (Siberia), 1586-98",,2,,,1586,,,1598,,,9,2,158,,,12
,"Japan (Kyushu), 1586-87",740,2,,,1586,10,3,1587,5,8,12,2,158,215,7,1
War of the Armada,"England-Spain, 1587-1604",,2,,48000,1587,4,19,1604,8,18,3,2,158,6239,208,17
Sandwich Uprising,"England, 1587",,2,,,1587,,,1587,,,3,2,158,,,0
,"Emperor-Poland, 1587-88",,2,,8000,1587,,,1588,,,4,2,158,,,1
,"Zimba-Tanzania, Kenya, Portugal, 1587-88",,4,,3000,1587,,,1588,,,8,2,158,,,1
,"Savoy-France, 1588",,2,,400,1588,,,1588,,,3,2,158,,,0
Savoyard Invasion of Switzerland,"Savoy-Geneva, 1588-89",,2,,6300,1588,,,1589,,,3,2,158,,,1
,"Turkey-Portugal (Kenya, Pemba), 1588",,2,,,1588,,,1588,,,8,2,158,,,0
,"Spain, Portugal-Moluccans (Ternate), 1588",,3,,,1588,,,1588,,,11,2,158,,,0
,"Persia-Uzbeks, 1588-98",,2,,4000,1588,,,1598,8,9,9,2,158,,,10
,"China (minority in Sichuan), 1588",710,2,,,1588,,,1588,,,12,2,158,,,0
